Name                                                                                                         Stmts   Miss  Cover
env/lib/python3.6/site-packages/django/db/migrations/exceptions.py                                              26      5    81%
env/lib/python3.6/site-packages/django/db/migrations/executor.py                                               211    129    39%
env/lib/python3.6/site-packages/django/db/migrations/graph.py                                                  177     81    54%
env/lib/python3.6/site-packages/django/db/migrations/loader.py                                                 165     65    61%
env/lib/python3.6/site-packages/django/db/migrations/migration.py                                               81     40    51%
env/lib/python3.6/site-packages/django/db/migrations/operations/__init__.py                                      4      0   100%
env/lib/python3.6/site-packages/django/db/migrations/operations/base.py                                         44     16    64%
env/lib/python3.6/site-packages/django/db/migrations/operations/fields.py                                      216    102    53%
env/lib/python3.6/site-packages/django/db/migrations/operations/models.py                                      436    270    38%
env/lib/python3.6/site-packages/django/db/migrations/operations/special.py                                     121     78    36%
env/lib/python3.6/site-packages/django/db/migrations/operations/utils.py                                        32     18    44%
env/lib/python3.6/site-packages/django/db/migrations/optimizer.py                                               31     28    10%
env/lib/python3.6/site-packages/django/db/migrations/questioner.py                                             126     95    25%
env/lib/python3.6/site-packages/django/db/migrations/recorder.py                                                48      6    88%
env/lib/python3.6/site-packages/django/db/migrations/state.py                                                  349    129    63%
env/lib/python3.6/site-packages/django/db/migrations/utils.py                                                   11      4    64%
env/lib/python3.6/site-packages/django/db/models/__init__.py                                                    22      0   100%
env/lib/python3.6/site-packages/django/db/models/aggregates.py                                                 107     59    45%
env/lib/python3.6/site-packages/django/db/models/base.py                                                       875    442    49%
env/lib/python3.6/site-packages/django/db/models/constants.py                                                    1      0   100%
env/lib/python3.6/site-packages/django/db/models/constraints.py                                                 83     55    34%
env/lib/python3.6/site-packages/django/db/models/deletion.py                                                   171    147    14%
env/lib/python3.6/site-packages/django/db/models/expressions.py                                                816    508    38%
env/lib/python3.6/site-packages/django/db/models/fields/__init__.py                                           1216    553    55%
env/lib/python3.6/site-packages/django/db/models/fields/files.py                                               223    116    48%
env/lib/python3.6/site-packages/django/db/models/fields/mixins.py                                               18      9    50%
env/lib/python3.6/site-packages/django/db/models/fields/proxy.py                                                 6      3    50%
env/lib/python3.6/site-packages/django/db/models/fields/related.py                                             702    230    67%
env/lib/python3.6/site-packages/django/db/models/fields/related_descriptors.py                                 510    448    12%
env/lib/python3.6/site-packages/django/db/models/fields/related_lookups.py                                      89     45    49%
env/lib/python3.6/site-packages/django/db/models/fields/reverse_related.py                                     116     41    65%
env/lib/python3.6/site-packages/django/db/models/functions/__init__.py                                           6      0   100%
env/lib/python3.6/site-packages/django/db/models/functions/comparison.py                                        62     37    40%
env/lib/python3.6/site-packages/django/db/models/functions/datetime.py                                         185     86    54%
env/lib/python3.6/site-packages/django/db/models/functions/math.py                                              91     15    84%
env/lib/python3.6/site-packages/django/db/models/functions/mixins.py                                            30     20    33%
env/lib/python3.6/site-packages/django/db/models/functions/text.py                                             137     53    61%
env/lib/python3.6/site-packages/django/db/models/functions/window.py                                            69     20    71%
env/lib/python3.6/site-packages/django/db/models/indexes.py                                                     84     67    20%
